1790,8,Providence,6.4
1790,9,"Gloucester, MA",5.3
1790,17,Norfolk,3.0
1800,8,Providence,7.6
1800,13,Nantucket,5.6
1820,5,Washington,28.8
1830,2,Philadelphia,161.0
1830,4,Baltimore,80.6
1830,5,New Orleans,46.1
1830,15,"Portland, ME",12.6
1840,2,Philadelphia,259.0
1840,8,Washington,50.2
1840,10,Charleston,42.6
1840,17,St. Louis,28.4
1850,3,Boston,308.0
1850,4,Baltimore,179.0
1850,14,Newark,57.0
1860,12,Buffalo,90.0
1860,20,Milwaukee,48.0
1870,13,Louisville,129.0
1870,18,Milwaukee,75.0
1880,4,Chicago,543.0
1880,19,Rochester,103.0
1900,9,Cincinnati,379.0
1910,2,Chicago,2283.0
1910,15,Los Angeles,374.0
1920,13,Buffalo,539.0
1920,18,New Orleans,393.0
1930,18,New Orleans,469.0
1930,20,Indianapolis,379.0
1940,5,Detroit,2041.0
1940,18,New Orleans,557.0
1960,8,Pittsburgh,2105.0
1970,5,Detroit,4085.0
1970,8,Washington,2671.0
1980,14,Minneapolis,1788.0
1990,6,Miami,3948.0
1990,10,Dallas,3265.0
2000,5,Philadelphia,5418.0
2010,14,Seattle,3446.0
2010,18,Baltimore,2497.0
